Smiles,pChEMBL Value
C\C=C\[C@H](NC(=O)OC(C)(C)C)[C@@H](O)C(=O)O[C@H]1C[C@@]2(O)[C@@H](OC(=O)c3ccccc3)C4[C@@]5(CO[C@@H]5C[C@H](O)[C@@]4(C)C(=O)[C@H](OC(=O)C)C(=C1C)C2(C)C)OC(=O)C,8.57
[O-][N+](=O)c1ccc(Cl)c(\C=C\c2nc3ncc(Br)cc3[nH]2)c1,5.05
CC[C@@]1(OC(=O)Cn2cccn2)C(=O)OCC3=C1C=C4N(Cc5cc6ccccc6nc45)C3=O,6.92
Cl.N=C(NC1CCCCC1)c2ccc3nc(\C=C\c4occc4)[nH]c3c2,4.72
CC[C@@]1(OC(=O)COc2cc(ncn2)C(F)(F)F)C(=O)OCC3=C1C=C4N(Cc5cc6ccccc6nc45)C3=O,5.75
[Cl-].CC[C@@]1(OC(=O)C[n+]2cccc(c2)C(=O)C)C(=O)OCC3=C1C=C4N(Cc5cc6ccccc6nc45)C3=O,5.46
CCOc1ccc2nc(C)cc(N3CCN(CC3)C(=O)c4occc4)c2c1,8.37
O=C1C=C(Nc2ccc3c(ccn3CC4CC4)c12)c5ccccc5,7.4
COc1ccc(\C=C\C(=O)c2c(O)c(C3CCN(C)CC3)c(OC)cc2OC)cc1,4.59
COc1cc(OC)c(cc1C2CCN(C)CC2)C(=O)\C=C\c3ccc(cc3)C(F)(F)F,5.55
Cl.CC(C)NC(=N)c1ccc2[nH]c(nc2c1)c3ccccn3,4.3
CN(C)CCN1C(=O)c2cccc3cc(NC(=S)Nc4ccc(OC(F)(F)F)cc4)cc(C1=O)c23,5.32
CN(C)CCN1C(=O)c2cccc3cc(NC(=O)Nc4ccc(OC(F)(F)F)cc4)cc(C1=O)c23,5.19
CC(C)OC(=O)OCOP(=O)(OCOC(=O)OC(C)C)C(Cc1cccc(c1)C#N)P(=O)(OCOC(=O)OC(C)C)OCOC(=O)OC(C)C,4.23
CC(C)(C)C(=O)OCOP(=O)(OCOC(=O)C(C)(C)C)C(Cc1cccc(c1)c2cccc(c2)c3ccccc3)P(=O)(OCOC(=O)C(C)(C)C)OCOC(=O)C(C)(C)C,5.58
ONC(=O)c1ccc(s1)c2ccn(CCOCc3ccccc3)n2,6.46
COc1ccc(CNCCn2ccc(n2)c3ccc(s3)C(=O)NO)cc1,6.7
COc1ccccc1NC(=O)Cn2ccc(n2)c3ccc(s3)C(=O)NO,6.92
Nc1ccc(cc1)C2=CC(=O)c3c(N)c(Br)cc(Br)c3O2,5.2
CC(=CCC12OC(C)(C)C3CC(C=C4C(=O)c5cc(O)ccc5OC134)C2=O)C,4.69
CC(=CCC12OC(C)(C)C3CC(C=C4C(=O)c5cccc(O)c5OC134)C2=O)C,4.71
COc1c(F)c(N)c2C(=O)C=C(Oc2c1F)c3ccc(N)c(F)c3,7.0
CCNC(=O)Nc1ccc(cc1)c2nc(N3CCOCC3)c4CO[C@](C)(CO)c4n2,5.77
CC[C@H](CO)Nc1nc(Nc2ccc(C(=O)NCCNS(=O)(=O)c3cccc4c(cccc34)N(C)C)c(Cl)c2)c5ncn(C(C)C)c5n1,4.72
COc1cc(NC(C)CCCNC(=O)NCc2ccccc2)c3ncccc3c1,4.6
CC(C)Cc1ccc(cc1)C(C)C(=O)OCCCCCN2C(=O)N=C3N(CC(OC(=O)C)C(OC(=O)C)C(COC(=O)C)OC(=O)C)c4cc(C)c(C)cc4N=C3C2=O,5.02
COc1cc(cc(OC)c1OC)c2nc(cc3c4ccccc4n(C)c23)C(=O)NCCO,4.02
CC[C@@]1(O)C(=O)OCC2=C1C=C3N(Cc4cc5c6CN(COc6ccc5nc34)c7ccccc7)C2=O,5.56
CC[C@@]1(O)C(=O)OCC2=C1C=C3N(Cc4cc5c6CN(COc6ccc5nc34)c7ccc(C)cc7)C2=O,5.79
CC[C@@]1(O)C(=O)OCC2=C1C=C3N(Cc4cc5c6CN(Cc7ccccc7)COc6ccc5nc34)C2=O,5.8
CC[C@@]1(O)C(=O)OCC2=C1C=C3N(Cc4cc5c6CN(C)COc6ccc5nc34)C2=O,5.34
Br.CCN(CC)CCCCCNc1cc(O)cc2cccnc12,6.0
CN[C@H](C(=O)N[C@H](C(=O)N(C)[C@H](\C=C(/C)\C(=O)O)C(C)C)C(C)(C)C)C(C)(C)c1ccccc1,9.99
Cl.COc1cc2ncnc(Nc3ccccc3F)c2cc1OC,5.71
O=C1NC2(CSC3=C2C(=O)c4ncccc4C3=O)C(=O)N1c5ccc(cc5)N6CCOCC6,6.12
CCc1ccc(cc1)N2C(=O)NC3(CSC4=C3C(=O)c5ncccc5C4=O)C2=O,7.3
CC(C)(C)c1ccc(cc1)N2C(=O)NC3(CSC4=C3C(=O)c5ncccc5C4=O)C2=O,6.89
Cc1ccc[n+](CC(P(=O)(O)O)P(=O)(O)[O-])c1,4.42
CCCCc1ccc[n+](CC(P(=O)(O)O)P(=O)(O)[O-])c1,4.58
ONC(=O)c1ccc(s1)c2ccn(Cc3ccccc3)n2,5.69
CC(C)(C)CNCCn1c(Sc2nc3cccc(Cl)c3s2)nc4c(N)ncnc14,7.52
CCOC(=O)c1ccc(NC(=O)Nc2cc3C(=O)N(CCN(C)C)C(=O)c4cccc(c2)c34)cc1,5.51
[Cl-].COc1cc2c(ccc3c4cc(OC)c(OC)cc4c[n+](C)c23)cc1O,5.4
COc1cc2C(=O)N3CCC[C@H]3C=Nc2cc1OCCCCOc4ccc(OCCCCOc5cc6N=C[C@@H]7CCCN7C(=O)c6cc5OC)c8C(=O)c9ccccc9C(=O)c48,5.05
Clc1ccc(\C=C\C(=O)c2ccc(cc2)N3CCCCC3)cc1,4.6
Nc1c(C#N)c(cn1c2ccc(cc2)S(=O)(=O)Nc3ccccn3)c4ccccc4,5.34
NC(=O)Nc1c(C#N)c(cn1c2ccc(cc2)S(=O)(=O)Nc3nccs3)c4ccccc4,5.09
CC(C)C[C@H](NC(=O)OC(C)(C)C)[C@@H](O)C(=O)O[C@H]1C[C@@]2(O)[C@@H](OC(=O)c3ccccc3)[C@@H](\C(=C(\OC(=O)C)/C(=O)C(=C1C)C2(C)C)\C)[C@@]4(CO[C@@H]4CCOC(=O)C)OC(=O)C,6.73
CCC(=O)O[C@H]1C(=O)[C@]2(C)[C@@H](O)C[C@H]3OC[C@@]3(OC(=O)C)[C@H]2[C@H](OC(=O)c4ccccc4)[C@]5(O)C[C@H](OC(=O)[C@H](O)[C@H](CC(C)C)NC(=O)C6CCCCC6)C(=C1C5(C)C)C,8.82
CC(=O)NC1=C(C#N)C(C2=C(CC(C)(C)CC2=O)N1c3ccc(cc3)S(=O)(=O)N)c4ccc(Cl)cc4,4.335000000000001
Cn1cc(c2ccccc12)C3(C(=O)Nc4ccc(F)cc34)c5cn(C)c6ccccc56,5.04
Cc1nc2CCc3cnc(Nc4cccc(c4)[N+](=O)[O-])nc3c2s1,5.77
O=C(NC1=C(C(=O)c2ccccc2C1=O)c3ccccc3)c4ccccc4,5.68
COc1ccc(CN2C[C@H]3CC[C@H](Oc4ccccc4)[C@@H]2CN3CC=C)c(OC)c1,5.04
COc1cc(OC)c(\C=C\C(=O)\C=C\c2cc(OC)c(OC)cc2OC)cc1OC,5.62
COc1cc(\C=C\C(=O)\C=C\c2cc(OC)c(OS(=O)(=O)N)c(OC)c2)cc(OC)c1OS(=O)(=O)N,5.82
COc1ccc(CN2C[C@@H]3CC[C@@H](COc4ccccc4)[C@H]2CN3CC=C)c(OC)c1,5.24
COc1ccc2nc3cc(Cl)ccc3c(NCCCCNC(=O)C[C@H]4O[C@@H]5O[C@@]6(C)CC[C@H]7[C@H](C)CC[C@@H]([C@H]4C)[C@@]57OO6)c2c1,4.93
COc1ccc(CN2C[C@H]3CC[C@@H](COc4ccccc4)[C@@H]2CN3CC=C)cc1,5.03
COc1ccc(CN2C[C@@H]3CC\C(=C\c4ccccc4)\[C@H]2CN3CC=C)c(OC)c1,5.21
COc1ccc2C(c3ccccc3Cl)c4cc(Cl)ccc4N(Cc2c1)C(=O)c5ccc(cc5)[N+](=O)[O-],5.89
COc1ccc(CN2C[C@H]3CC\C(=C\c4ccccc4)\[C@@H]2CN3CC=C)c(OC)c1,5.14
CCOC(=O)\C=C\C(C(=O)\C=C\c1ccc(OC)c(OC)c1)C(=O)\C=C\c2ccc(OC)c(OC)c2,5.89
COc1ccc(\C=C\C(=O)C(\C=C\C(=O)N)C(=O)\C=C\c2ccc(OC)c(OC)c2)cc1OC,5.27
COc1ccc(\C=C\c2n[nH]c(\C=C\c3ccc(OC)c(OC)c3)c2C)cc1OC,5.09
CCOC(=O)CCc1c(\C=C\c2ccc(OC)c(OC)c2)n[nH]c1\C=C\c3ccc(OC)c(OC)c3,5.0
COc1ccccc1C2=C(NC(=O)c3ccccc3)C(=O)c4ccccc4C2=O,5.66
Clc1ccc(cc1)C2=C(NC(=O)c3ccccc3)C(=O)c4ccccc4C2=O,5.58
COc1cccc(c1)c2cc(ccc2OC)C(=O)NC3=C(Cl)C(=O)c4ccccc4C3=O,5.52
CNC(=O)c1ccc(OC)c(OCCN2CCOCC2)c1c3c(OCC(=O)Nc4ccc(F)c(Cl)c4)c(OC)ccc3C(=O)NC,4.22
O=C1C=C(C2CCCC=C2)C(=O)c3ccccc13,4.4
Nc1ccc(OS(=O)(=O)c2ccc3[nH]c4ccncc4c3c2)cc1,4.78
[Br-].C(c1ccccc1)[n+]2ccc3c(c2)[nH]c4ccccc34,4.04
Br.CCCCOc1ccc2c3ccnc(C)c3n(CC(C)C)c2c1,5.14
[Br-].Cc1c2[nH]c3ccccc3c2cc[n+]1Cc4ccccc4,4.05
CN1C(=O)c2ccccc2c3ccc4cnccc4c13,4.92
OC(=O)C1=C2C(=NC1=O)c3cccc4c(ccc2c34)N5CCCCC5,4.84
CNC1=CC(=O)c2c(C)c(C)ncc2C1=O,5.63
FC(F)(F)c1ccc(Nc2nccc(n2)c3c(nc4ccccn34)C(F)(F)F)cc1,6.54
CO[C@@H]1CC[C@H](C)[C@@]2(C)C[C@@]3(O)[C@@H](C[C@]12O)OC(=O)C3=C,4.82
NC(=O)NC(=O)c1cc(NC(=O)CBr)ccc1F,7.1
CCCCc1ccc2[nH]c(c(\C=N\NC(=O)c3ccc(Cl)cc3)c2c1)c4ccc(OC)cc4,6.66
OC[C@@H]1NC(=O)[C@@]2(CSC3=C2C(=O)c4ccccc4C3=O)NC1=O,6.34
O=C1N[C@@]2(CSC3=C2C(=O)c4ccccc4C3=O)C(=O)N5CCC[C@H]15,6.65
CC(=O)OC[C@H]1O[C@@H](NC(=O)c2ccc(NC(=O)CCCc3ccc(cc3)N(CCCl)CCCl)cc2)[C@H](F)[C@@H](OC(=O)C)[C@@H]1OC(=O)C,5.3
CC(=O)O[C@H]1C(=O)[C@]2(C)[C@H](C[C@H]3OC[C@@]3(OC(=O)C)[C@H]2[C@H](OC(=O)c4ccccc4)[C@]5(O)C[C@H](OC(=O)[C@H](O)[C@@H](NC(=O)c6ccccc6)c7ccccc7)C(=C1C5(C)C)C)OC(=O)CCC(=O)O[C@@H]8C[C@]9(C)[C@@H](O)CC[C@H]9[C@@H]%10CCc%11cc(O)ccc%11[C@@H]8%10,6.25
COC(=O)C1=C(O)C=C(OC1=O)\C=C\c2ccc(O)c(O)c2,6.84
NCCCC[C@@H]1NC(=O)[C@]2(CSC3=C2C(=O)c4ccccc4C3=O)NC1=O,7.08
CCOC(=O)c1c2C(=O)c3cnncc3C(=O)c2n4cccc(Cl)c14,5.92
COc1cccc(c1)c2cc(ccc2OC)c3cn(nn3)C4=Cc5ccc(OC(=O)C)c(C)c5OC4=O,4.37
